City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,natal,-5.795,-35.2094,25.36,83,20,2.57,BR,1695785366
161,dingras,18.1032,120.6967,30.86,79,75,2.57,PH,1695785596
162,novi sad,45.2517,19.8369,16.0,47,33,2.25,RS,1695785596
163,bilibino,68.0546,166.4372,-0.24,94,100,4.13,RU,1695785597
164,tulnici,45.9167,26.6667,11.78,51,0,1.96,RO,1695785597
165,utrik,11.2278,169.8474,25.97,88,100,6.76,MH,1695785597
166,homer,59.6425,-151.5483,10.94,57,0,6.26,US,1695785598
167,carnarvon,-24.8667,113.6333,28.16,38,1,4.37,AU,1695785598
168,tual,-5.6667,132.75,25.53,85,61,8.83,ID,1695785598
169,berezovo,63.9381,65.0419,4.98,84,100,2.68,RU,1695785599
170,ust'-barguzin,53.45,108.9833,9.13,88,100,4.35,RU,1695785599
171,kuta,-8.7233,115.1723,29.97,74,20,3.6,ID,1695785599
172,chernyshevskiy,63.0128,112.4714,7.06,47,94,5.03,RU,1695785599
173,port alfred,-33.5906,26.891,14.72,79,100,9.29,ZA,1695785600
174,camocim,-2.9022,-40.8411,25.61,76,6,5.1,BR,1695785600
175,charters towers,-20.1,146.2667,30.43,15,5,5.82,AU,1695785600
176,nouadhibou,20.931,-17.0347,24.99,65,100,7.72,MR,1695785600
177,polyarnyy,69.1989,33.4478,9.73,86,98,7.5,RU,1695785601
178,fort bragg,35.139,-79.006,19.39,86,75,4.63,US,1695785601
179,kapa'a,22.0752,-159.319,29.99,67,40,8.75,US,1695785601
180,along,28.1667,94.7667,30.67,55,5,0.59,IN,1695785601
181,danane,7.2596,-8.155,22.26,99,89,0.84,CI,1695785602
182,abong mbang,3.9833,13.1833,19.27,98,75,1.06,CM,1695785602
183,saint-philippe,-21.3585,55.7679,21.77,77,39,5.62,RE,1695785602
184,stillwater,36.1156,-97.0584,24.15,60,0,3.6,US,1695785603
185,bontang,0.1333,117.5,29.64,64,97,3.77,ID,1695785603
186,nizhnyaya tavda,57.6731,66.1725,9.57,62,94,1.75,RU,1695785603
187,comodoro rivadavia,-45.8667,-67.5,11.92,37,0,11.83,AR,1695785603
188,flin flon,54.7682,-101.865,16.84,69,6,5.58,CA,1695785604
189,rio grande,-32.035,-52.0986,12.75,94,100,6.24,BR,1695785604
190,ina,35.8276,137.9538,28.14,66,78,1.73,JP,1695785510
